decisions,propagations,conflicts,user-propagations,final-checks,problem,length,steps,mutexes,propagator
2,22,1,0,1,grounder_dcrm_qurm_tsp-2,2,2,5,exists
89,2103,42,22,1,grounder_dcrm_qurm_strips-gripper-x-1,12,4,36,exists-decide
1045,49306,549,152,1,grounder_dcrm_qurm_strips-gripper-x-1,11,7,236,forall-decide
6,956,8,0,1,grounder_dcrm_qurm_printjob,15,9,253,exists
399,10925,48,10,11,grounder_dcrm_qurm_printjob,22,11,121,exists-final
7701,847078,3428,0,1,grounder_dcrm_qurm_pfile03,7,7,0,forall-final
7097,833567,3118,47,1,grounder_dcrm_qurm_pfile02,7,7,974,exists-lazy
35,70,1,0,1,grounder_dcrm_qurm_strips-movie-x-3,7,2,0,exists-lazy
448,32609,183,29,1,grounder_dcrm_qurm_roverprob3726,17,8,57,exists-decide
2,32,2,0,1,grounder_dcrm_qurm_instance_2_3,1,1,0,forall-code
441,15355,165,57,1,grounder_dcrm_qurm_name,10,10,190,forall-lazy
44,2750,21,0,1,grounder_dcrm_qurm_printjob,22,11,454,exists
6914,709631,2737,306,1,grounder_dcrm_qurm_name,23,23,421,exists-decide
36,1590,16,3,1,grounder_dcrm_qurm_printjob,15,9,6,forall-code
642,30518,153,21,1,grounder_dcrm_qurm_roverprob3726,18,8,154,forall-lazy
40,3143,15,6,1,grounder_dcrm_qurm_problem_x,9,9,12,exists-lazy
3,5,0,0,1,grounder_dcrm_qurm_briefcase-o1,1,1,0,exists-lazy
34,4315,22,7,1,grounder_dcrm_qurm_problem_x,9,9,14,forall-lazy
216,8465,56,17,1,grounder_dcrm_qurm_printjob,22,11,17,exists-code
34,218,7,7,1,grounder_dcrm_qurm_briefcase-o3,2,2,14,exists-lazy
2,32,2,0,1,grounder_dcrm_qurm_instance_2_3,1,1,0,forall-final
38,2498,33,0,1,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,9,7,33,exists
678,28335,188,633,1,grounder_dcrm_qurm_ztravel-2-4,13,5,2959,forall-prop
7500,864672,3432,1374,1,grounder_dcrm_qurm_pfile03,7,7,12767,forall-prop
379,23637,156,0,1,grounder_dcrm_qurm_roverprob3726,16,8,4475,exists
417,34265,172,8,1,grounder_dcrm_qurm_roverprob4213,9,7,96,forall-decide
30,65,1,0,1,grounder_dcrm_qurm_strips-movie-x-2,7,2,0,forall-code
16507,2334167,8471,0,1,grounder_dcrm_qurm_pfile01,9,9,0,forall-final
7600,629338,2484,252,1,grounder_dcrm_qurm_name,23,23,1131,exists-stepshare
754,22837,166,0,1,grounder_dcrm_qurm_ztravel-2-4,12,5,1926,forall
33,3563,17,0,1,grounder_dcrm_qurm_problem_x,17,9,1775,forall
51,10033,29,2,1,grounder_dcrm_qurm_problem_x,17,9,3,forall-code
2184,84073,920,187,1,grounder_dcrm_qurm_strips-gripper-x-1,11,7,288,forall-code
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,8,exists-stepshare
5426,402500,1470,0,1,grounder_dcrm_qurm_prob1,26,7,20065,forall
1,2,0,0,1,grounder_dcrm_qurm_tsp-1,1,1,0,forall-lazy
21186,2680394,10017,51,1,grounder_dcrm_qurm_pfile01,9,9,1408,exists-lazy
48734,6622269,11771,8466,1,grounder_dcrm_qurm_prob1,57,14,100713,forall-prop
121316,21654266,87599,0,1,grounder_dcrm_qurm_power1,21,16,5198,exists
131,1246,22,7,1,grounder_dcrm_qurm_network1new_all_6_2_instance,5,3,8,exists-decide
26,1252,14,6,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,12,exists-lazy
356,10348,56,16,1,grounder_dcrm_qurm_printjob,22,11,16,exists-decide
3692,122672,1064,218,1,grounder_dcrm_qurm_network1new_all_6_4_instance,12,6,530,exists-lazy
64,795,12,29,1,grounder_dcrm_qurm_network1new_all_6_2_instance,5,3,278,exists-prop
21186,2680394,10017,51,1,grounder_dcrm_qurm_pfile01,9,9,1274,forall-code
32876,1687370,4476,212,1,grounder_dcrm_qurm_pegsolitaire-sequential-011,9,9,490,forall-lazy
208,9623,62,10,11,grounder_dcrm_qurm_grounded-strips-psr-s5-n1-l3-f30,13,8,39,exists-final
453,7684,36,15,1,grounder_dcrm_qurm_pathways-02,25,7,49,exists-stepshare
425,5373,29,123,1,grounder_dcrm_qurm_pathways-02,23,7,515,forall-prop
115,4096,16,0,1,grounder_dcrm_qurm_pathways-02,20,7,606,forall
2,733,9,1,1,grounder_dcrm_qurm_problem_x,8,8,1,exists-decide
453,7684,36,15,1,grounder_dcrm_qurm_pathways-02,25,7,49,exists-stepshare
281463,9105491,12395,9574,1,grounder_dcrm_qurm_original,10,6,20669,forall-code
269,4412,23,117,1,grounder_dcrm_qurm_pathways-02,29,7,422,exists-prop
34654,2805187,7430,655,1,grounder_dcrm_qurm_grounded-truck-1,13,11,901,forall-code
34,220,7,7,1,grounder_dcrm_qurm_briefcase-o3,2,2,3,exists-stepshare
177029,30224961,57482,6241,1,grounder_dcrm_qurm_truck-2,17,14,9524,forall-decide
453,7684,36,15,1,grounder_dcrm_qurm_pathways-02,25,7,15,exists-code
2886,67665,179,2,1,grounder_dcrm_qurm_strips-sat-x-1,14,6,180,exists-lazy
159054,34730421,129331,469,1,grounder_dcrm_qurm_power1,19,19,993,forall-decide
113,7550,60,0,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,12,8,133,forall
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,6,forall-code
2805,50639,329,131,1,grounder_dcrm_qurm_network1new_all_8_3_instance,12,6,280,exists-lazy
46,5677,21,73,1,grounder_dcrm_qurm_problem_x,17,9,685,forall-prop
25,60,1,0,1,grounder_dcrm_qurm_strips-movie-x-1,7,2,1,forall-prop
31693,967851,1849,631,1,grounder_dcrm_qurm_prob1,58,12,814,exists-decide
2,23,1,0,1,grounder_dcrm_qurm_instance_2_3,1,1,0,forall-decide
1198,38649,289,51,52,grounder_dcrm_qurm_name,10,10,348,exists-final
82226,8946369,13463,1718,1,grounder_dcrm_qurm_truck-3,21,9,4025,exists-stepshare
20,627,9,1,2,grounder_dcrm_qurm_printjob,8,8,4,forall-final
8,8,0,0,1,grounder_dcrm_qurm_briefcase-o2,1,1,0,forall-decide
61,6001,51,5,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,12,8,171,forall-prop
461,16215,86,40,1,grounder_dcrm_qurm_pathways-03,19,8,86,forall-lazy
42,6707,29,19,1,grounder_dcrm_qurm_problem_x,17,9,415,exists-prop
296,13372,112,0,1,grounder_dcrm_qurm_dlog-2-2-4,22,7,2064,forall
499213,43852038,89916,7318,1,grounder_dcrm_qurm_truck-2,17,14,12319,forall-lazy
8018,370766,1023,0,1,grounder_dcrm_qurm_pegsolitaire-sequential-014,9,9,7608,forall
6904,56079,104,46,47,grounder_dcrm_qurm_pathways-03,18,8,1279,forall-final
38893,5414250,23485,9,1,grounder_dcrm_qurm_power1,19,15,19181,exists-prop
1040431,90785093,477613,5899,1,grounder_dcrm_qurm_grounded-strips-os-sequencedstrips-small-5,25,15,32657,exists-prop
247,9816,58,19,1,grounder_dcrm_qurm_printjob,22,11,68,exists-lazy
1499239,138720605,674307,0,1,grounder_dcrm_qurm_grounded-strips-os-sequencedstrips-small-6,25,16,3165,exists
189,898,21,0,1,grounder_dcrm_qurm_mprime-x-1,10,4,1116,exists
6354,674856,2418,0,1,grounder_dcrm_qurm_pfile02,7,7,0,exists-final
51,10033,29,2,1,grounder_dcrm_qurm_problem_x,17,9,3,forall-lazy
2,32,2,0,1,grounder_dcrm_qurm_instance_2_3,1,1,0,exists-stepshare
30715,1502474,4050,196,1,grounder_dcrm_qurm_pegsolitaire-sequential-011,9,9,438,exists-lazy
328,22135,140,0,1,grounder_dcrm_qurm_roverprob3726,16,8,4475,forall
8023,925373,3523,65,1,grounder_dcrm_qurm_pfile03,7,7,1348,exists-lazy
18963,3682632,7338,20,1,grounder_dcrm_qurm_strips-sat-x-1,17,9,780,exists-code
7433,66635,281,172,1,grounder_dcrm_qurm_strips-log-x-1,57,6,476,exists-stepshare
44225,5932807,25554,0,1,grounder_dcrm_qurm_power1,25,15,0,exists-lazy
2394193,313633261,1533890,3264,1,grounder_dcrm_qurm_strips-gripper-x-3,23,15,15859,forall-prop
371720,161094706,179664,7722,1,grounder_dcrm_qurm_grounded-truck-3,20,16,10345,forall-decide
30,65,1,0,1,grounder_dcrm_qurm_strips-movie-x-2,7,2,0,exists-final
377,21941,175,225,1,grounder_dcrm_qurm_name,10,10,491,forall-prop
241,6700,81,0,1,grounder_dcrm_qurm_ztravel-1-3,8,6,499,exists
25,60,1,0,1,grounder_dcrm_qurm_strips-movie-x-1,7,2,0,exists-stepshare
954,13989,103,4,5,grounder_dcrm_qurm_ztravel-2-4,10,4,7,exists-final
345,7960,73,29,1,grounder_dcrm_qurm_ztravel-1-2,12,6,44,exists-decide
36,1590,16,3,1,grounder_dcrm_qurm_printjob,15,9,3,exists-code
2,32,2,0,1,grounder_dcrm_qurm_instance_2_1,1,1,2,forall
35,621,14,7,1,grounder_dcrm_qurm_name,4,4,8,exists-stepshare
562,10622,75,15,1,grounder_dcrm_qurm_ztravel-2-4,12,5,59,forall-decide
12,593,9,1,1,grounder_dcrm_qurm_printjob,8,8,4,exists-lazy
17659,273545,616,200,1,grounder_dcrm_qurm_prob1,41,9,534,exists-lazy
3,25,2,2,1,grounder_dcrm_qurm_tsp-2,2,2,4,forall-code
2798,174335,1595,238,1,grounder_dcrm_qurm_strips-gripper-x-2,17,6,382,exists-code
32,3228,27,0,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,13,7,0,exists-lazy
1,2,0,0,1,grounder_dcrm_qurm_tsp-1,1,1,0,forall-final
11,2122,14,0,1,grounder_dcrm_qurm_problem_x,9,9,772,forall
504,6233,53,4,1,grounder_dcrm_qurm_ztravel-2-4,12,4,20,exists-code
12,593,9,1,1,grounder_dcrm_qurm_printjob,8,8,2,forall-code
28511,3142535,14551,0,1,grounder_dcrm_qurm_pfile01,9,9,1035,exists
3,45,2,0,1,grounder_dcrm_qurm_instance_2_2,2,1,2,exists-prop
960,18537,145,31,1,grounder_dcrm_qurm_ztravel-2-4,14,5,132,forall-lazy
16522,2907673,6013,7,1,grounder_dcrm_qurm_strips-sat-x-1,18,9,607,exists-stepshare
10130,1969926,4306,366,1,grounder_dcrm_qurm_grounded-truck-2,18,10,483,exists-decide
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,3,exists-code
4,27,2,1,2,grounder_dcrm_qurm_tsp-2,2,2,2,forall-final
3,45,2,0,1,grounder_dcrm_qurm_instance_2_2,2,1,0,forall-code
1,2,0,0,1,grounder_dcrm_qurm_tsp-1,1,1,0,forall-decide
135,814,19,2,1,grounder_dcrm_qurm_ztravel-1-3,6,4,3,exists-code
8,668,8,0,1,grounder_dcrm_qurm_name,4,4,36,exists
43781,4410930,25877,864,1,grounder_dcrm_qurm_strips-gripper-x-3,24,8,5930,exists-prop
7701,847078,3428,0,1,grounder_dcrm_qurm_pfile03,7,7,0,exists-final
6909,974108,2785,1106,1,grounder_dcrm_qurm_name,23,23,2273,exists-prop
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,6,forall-lazy
643,30518,153,21,1,grounder_dcrm_qurm_roverprob3726,18,8,55,exists-code
25,60,1,0,1,grounder_dcrm_qurm_strips-movie-x-1,7,2,0,exists-final
5722,104203,484,150,151,grounder_dcrm_qurm_dlog-2-2-4,19,7,2003,forall-final
82450,11152639,47639,0,1,grounder_dcrm_qurm_power1,16,16,5390,forall
30693,468933,791,688,1,grounder_dcrm_qurm_original,11,5,743,exists-code
20,627,9,1,2,grounder_dcrm_qurm_printjob,8,8,4,exists-final
32979,3418733,8829,1831,1,grounder_dcrm_qurm_truck-1,13,11,2807,forall-decide
34,4315,22,7,1,grounder_dcrm_qurm_problem_x,9,9,13,forall-code
6869,414113,1562,540,1,grounder_dcrm_qurm_prob1,28,7,998,forall-decide
44225,5932807,25554,0,1,grounder_dcrm_qurm_power1,25,15,0,exists-stepshare
107,2724,52,0,1,grounder_dcrm_qurm_dlog-2-2-4,19,5,1529,exists
67063,12697129,15797,480,1,grounder_dcrm_qurm_grounded-truck-3,23,10,997,exists-stepshare
74893,11380619,24859,3834,1,grounder_dcrm_qurm_prob1,78,14,7038,forall-decide
4496,133175,530,170,1,grounder_dcrm_qurm_pathways-01,37,9,388,forall-decide
8449,97569,201,40,41,grounder_dcrm_qurm_pathways-01,34,9,1439,exists-final
4125,386401,1833,964,1,grounder_dcrm_qurm_pfile02,7,7,7554,exists-prop
92,11165,59,7,1,grounder_dcrm_qurm_grounded-strips-psr-s5-n1-l3-f30,15,8,7,forall-decide
73117,5733885,14368,1510,1,grounder_dcrm_qurm_truck-2,17,10,3026,exists-stepshare
2518,252340,918,318,1,grounder_dcrm_qurm_strips-sat-x-1,12,7,4078,exists-prop
75,13050,49,1,1,grounder_dcrm_qurm_problem_x,17,9,2,exists-lazy
19330,2750096,7412,0,1,grounder_dcrm_qurm_strips-sat-x-1,17,9,2329,exists
26,1252,14,6,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,12,forall-code
2247,49313,219,489,1,grounder_dcrm_qurm_pathways-01,29,9,871,forall-prop
16,144,9,10,1,grounder_dcrm_qurm_tsp-3,3,3,46,exists-prop
127,964,17,7,1,grounder_dcrm_qurm_network1new_all_6_2_instance,5,3,9,exists-code
1900,13507,51,26,27,grounder_dcrm_qurm_pathways-01,8,5,549,forall-final
30,65,1,0,1,grounder_dcrm_qurm_strips-movie-x-2,7,2,0,exists-lazy
25,60,1,0,1,grounder_dcrm_qurm_strips-movie-x-1,7,2,1,exists-prop
148,6128,86,49,1,grounder_dcrm_qurm_strips-gripper-x-1,12,4,584,exists-prop
16,144,9,9,1,grounder_dcrm_qurm_tsp-3,3,3,53,forall-prop
8,8,0,0,1,grounder_dcrm_qurm_briefcase-o2,1,1,0,exists-lazy
281463,9105491,12395,9574,1,grounder_dcrm_qurm_original,10,6,21723,forall-lazy
3688,88886,615,250,1,grounder_dcrm_qurm_network1new_all_8_3_instance,10,6,523,exists-stepshare
6354,674856,2418,0,1,grounder_dcrm_qurm_pfile02,7,7,0,forall-final
272836,51465289,183053,0,1,grounder_dcrm_qurm_power1,19,19,5390,forall
38,2472,33,0,1,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,9,7,0,exists-stepshare
77,4737,61,2,1,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,9,8,2,forall-lazy
216,8469,56,17,1,grounder_dcrm_qurm_printjob,22,11,65,exists-stepshare
171,4443,26,5,1,grounder_dcrm_qurm_pathways-01,9,5,5,exists-code
461,16215,86,40,1,grounder_dcrm_qurm_pathways-03,19,8,80,forall-code
5778,70784,120,72,1,grounder_dcrm_qurm_mprime-x-2,21,4,124,exists-stepshare
62,11845,42,3,1,grounder_dcrm_qurm_problem_x,17,9,4,forall-decide
164,7802,34,0,1,grounder_dcrm_qurm_pathways-03,20,8,1337,exists
20433,297471,606,196,1,grounder_dcrm_qurm_prob1,33,9,269,exists-code
1460,148617,418,0,1,grounder_dcrm_qurm_grounded-truck-1,13,7,3655,exists
7054,718100,2691,297,1,grounder_dcrm_qurm_name,23,23,1084,forall-lazy
4,12,0,0,1,grounder_dcrm_qurm_briefcase-o2,1,1,36,exists
732,8722,48,25,1,grounder_dcrm_qurm_pathways-02,26,7,25,exists-decide
250,6670,42,17,1,grounder_dcrm_qurm_pathways-03,29,8,33,forall-decide
79,4757,61,2,3,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,9,8,3,forall-final
380,9842,46,9,10,grounder_dcrm_qurm_printjob,22,11,104,forall-final
16,1287,12,4,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,846,exists-prop
6,779,6,2,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,2,exists-decide
378,4617,35,3,1,grounder_dcrm_qurm_ztravel-2-4,10,4,9,exists-decide
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,8,exists-stepshare
1804,12531,56,962,1,grounder_dcrm_qurm_mprime-x-3,24,4,7137,forall-prop
