conflicts,decisions,final-checks,propagations,user-propagations,domain,length,steps,instance,propagator
65,218,1,2796,151,tsp,4,4,4,forall-prop-clause
1,1,2,0,0,tsp,1,1,1,forall-lazy
1,1,2,0,0,tsp,1,1,1,forall-prop-id
1,1,2,0,0,tsp,1,1,1,forall-prop-clause
9,24,1,248,35,tsp,3,3,3,forall-prop-clause
16,21,1,276,13,tsp,3,3,3,forall-lazy
55,92,1,1299,37,tsp,4,4,4,forall-lazy
46,62,1,1710,60,tsp,4,4,4,forall-prop-id
8,5,1,306,7,tpp,5,5,1,forall-prop-id
6,6,1,138,10,tsp,3,3,3,forall-prop-id
8,5,1,320,18,tpp,5,5,1,forall-prop-clause
8,6,1,561,16,tpp,14,5,4,forall-prop-id
10,9,1,460,5,tpp,8,5,2,forall-lazy
10,9,1,326,5,tpp,5,5,1,forall-lazy
13,16,1,685,6,tpp,11,5,3,forall-lazy
8,6,1,494,38,tpp,11,5,3,forall-prop-clause
86,526,1,7783,44,rovers,10,6,1,forall-lazy
8,5,1,391,10,tpp,8,5,2,forall-prop-id
8,5,1,581,48,tpp,14,5,4,forall-prop-clause
8,6,1,478,13,tpp,11,5,3,forall-prop-id
8,5,1,407,28,tpp,8,5,2,forall-prop-clause
380,624,1,12777,192,tsp,5,5,5,forall-lazy
385,567,1,18225,188,tsp,5,5,5,forall-prop-id
63,208,1,3998,36,rovers,9,4,2,forall-lazy
14,19,1,994,6,tpp,14,5,4,forall-lazy
421,1111,1,22451,533,tsp,5,5,5,forall-prop-clause
34,91,1,4899,303,rovers,11,6,1,forall-prop-id
25,69,1,2462,162,rovers,12,4,2,forall-prop-id
33,74,1,2776,706,rovers,10,4,2,forall-prop-clause
32,85,1,4224,822,rovers,12,6,1,forall-prop-clause
71,210,1,6877,101,tpp,21,7,5,forall-prop-id
65,209,1,7380,649,tpp,21,7,5,forall-prop-clause
76,281,1,7180,29,tpp,23,7,5,forall-lazy
40,384,1,3745,29,rovers,13,4,4,forall-lazy
2324,3805,1,143646,503,tsp,6,6,6,forall-prop-id
20,107,1,1711,291,rovers,11,4,4,forall-prop-id
17,59,1,1784,1034,rovers,14,4,4,forall-prop-clause
2221,3943,1,121832,649,tsp,6,6,6,forall-lazy
82,255,1,9439,437,rovers,13,7,3,forall-prop-id
